topic,hour,count
0,0,2
0,1,3
0,2,4
0,4,2
0,6,2
0,7,5
0,8,21
0,9,28
0,10,49
0,11,100
0,12,62
0,13,40
0,14,34
0,15,119
0,16,91
0,17,130
0,18,202
0,19,178
0,20,139
0,21,16
0,24,47
1,0,95
1,1,49
1,2,36
1,3,37
1,4,44
1,5,122
1,6,429
1,7,823
1,8,881
1,9,787
1,10,749
1,11,570
1,12,538
1,13,436
1,14,377
1,15,476
1,16,586
1,17,848
1,18,870
1,19,667
1,20,327
1,21,131
1,22,63
1,23,3
1,24,921
2,17,4
3,0,1
3,3,4
3,4,6
3,5,1
3,6,8
3,7,11
3,8,37
3,9,78
3,10,112
3,11,71
3,12,61
3,13,54
3,14,68
3,15,49
3,16,57
3,17,52
3,18,78
3,19,65
3,20,27
3,21,1
3,22,1
3,23,1
3,24,31
4,10,2
4,12,5
4,13,1
4,14,7
4,15,1
4,16,2
4,17,6
4,18,1
4,21,1
4,22,3
5,6,1
5,7,4
5,8,2
5,10,3
5,11,2
6,5,2
6,6,1
6,8,2
6,9,2
6,10,4
6,12,2
6,13,7
6,17,1
6,19,2
6,21,28
6,22,6
6,24,2
7,6,1
7,8,2
7,9,4
7,10,14
7,11,8
7,12,6
7,14,12
7,24,8
8,0,5
8,1,1
8,5,5
8,6,4
8,7,4
8,8,16
8,9,22
8,10,18
8,11,12
8,12,34
8,13,19
8,14,51
8,15,47
8,16,34
8,17,30
8,18,35
8,19,77
8,20,49
8,21,53
8,22,25
8,23,1
8,24,14
9,0,1
9,1,3
9,2,10
9,3,6
9,4,8
9,5,13
9,6,9
9,7,65
9,8,107
9,9,333
9,10,245
9,11,364
9,12,556
9,13,144
9,14,7
9,15,15
9,16,27
9,17,27
9,18,22
9,19,2
9,24,125
