topic,hour,count
0,0,32
0,1,12
0,2,4
0,3,1
0,4,2
0,5,6
0,6,10
0,7,42
0,8,70
0,9,136
0,10,289
0,11,717
0,12,270
0,13,105
0,14,240
0,15,115
0,16,19
0,17,25
0,18,65
0,19,1
0,20,11
0,21,3
0,22,2
0,24,86
1,0,261
1,1,137
1,2,78
1,3,103
1,4,131
1,5,459
1,6,1414
1,7,2777
1,8,3015
1,9,2508
1,10,2107
1,11,2007
1,12,1676
1,13,1282
1,14,1415
1,15,1700
1,16,2262
1,17,2971
1,18,2295
1,19,1374
1,20,525
1,21,208
1,22,154
1,23,29
1,24,2153
2,3,3
2,4,4
2,7,6
2,8,13
2,9,4
2,10,20
2,11,3
2,12,10
2,13,29
2,14,39
2,15,76
2,16,260
2,17,219
2,18,2
2,22,2
2,24,8
3,0,4
3,1,1
3,3,1
3,4,3
3,5,6
3,6,26
3,7,38
3,8,7
3,9,12
3,10,59
3,11,126
3,12,130
3,13,127
3,14,144
3,15,58
3,16,16
3,17,70
3,18,143
3,19,136
3,20,106
3,21,12
3,24,20
4,0,4
4,1,3
4,6,3
4,7,7
4,8,1
4,9,8
4,10,2
4,11,9
4,12,39
4,13,2
4,14,1
4,15,5
4,24,6
5,8,4
5,10,1
5,11,4
5,12,1
5,13,1
5,14,14
5,15,8
5,16,1
5,17,1
6,7,1
6,8,3
6,9,6
6,10,9
6,11,31
6,12,7
6,13,10
6,14,2
6,15,2
6,18,5
6,24,3
7,5,1
7,7,6
7,8,2
7,9,8
7,10,26
7,11,37
7,12,3
7,13,12
7,14,7
7,15,11
7,16,13
7,17,39
7,18,36
7,19,57
7,24,8
8,0,343
8,1,83
8,5,6
8,6,3
8,7,6
8,8,14
8,9,25
8,10,35
8,11,29
8,12,24
8,13,38
8,14,56
8,15,69
8,16,145
8,17,328
8,18,821
8,19,1202
8,20,985
8,21,649
8,22,565
8,23,288
8,24,623
9,0,12
9,1,4
9,2,4
9,3,2
9,5,3
9,6,9
9,7,34
9,8,60
9,9,162
9,10,205
9,11,200
9,12,142
9,13,101
9,14,44
9,24,43
10,0,125
10,1,17
10,2,3
10,5,2
10,7,16
10,8,6
10,9,10
10,10,5
10,11,8
10,12,4
10,13,3
10,14,21
10,15,15
10,16,24
10,17,57
10,18,106
10,19,390
10,20,504
10,21,293
10,22,223
10,23,140
10,24,209
