topic,hour,count
0,0,14
0,1,9
0,3,2
0,4,11
0,5,7
0,6,26
0,7,57
0,8,80
0,9,85
0,10,63
0,11,96
0,12,47
0,13,65
0,14,71
0,15,75
0,16,37
0,17,72
0,18,48
0,19,1
0,24,95
1,0,172
1,1,76
1,2,74
1,3,42
1,4,72
1,5,195
1,6,537
1,7,1140
1,8,1311
1,9,1379
1,10,1427
1,11,1169
1,12,1259
1,13,1190
1,14,1112
1,15,1361
1,16,1464
1,17,1879
1,18,1748
1,19,1265
1,20,546
1,21,186
1,22,80
1,23,45
1,24,1302
2,0,15
2,1,53
2,2,35
2,3,21
2,4,14
2,5,20
2,6,92
2,7,201
2,8,421
2,9,1034
2,10,1115
2,11,1067
2,12,1056
2,13,692
2,14,903
2,15,1023
2,16,822
2,17,1019
2,18,949
2,19,496
2,24,441
3,0,6
3,1,7
3,4,9
3,5,30
3,6,41
3,7,67
3,8,55
3,9,119
3,10,145
3,11,75
3,12,113
3,13,123
3,14,90
3,15,98
3,16,57
3,17,64
3,18,47
3,19,38
3,20,15
3,21,7
3,24,135
4,10,1
4,14,6
4,15,1
4,16,1
4,17,4
4,24,4
5,8,1
5,10,3
5,12,6
5,13,1
5,17,3
6,9,2
6,10,2
7,8,1
7,9,7
7,10,2
7,11,13
7,12,1
7,13,5
7,14,5
7,15,9
7,16,10
7,17,33
7,18,4
7,19,8
7,20,1
7,24,6
8,0,391
8,1,175
8,3,1
8,5,4
8,7,1
8,8,21
8,9,46
8,10,38
8,11,59
8,12,37
8,13,39
8,14,143
8,15,111
8,16,132
8,17,230
8,18,448
8,19,972
8,20,1092
8,21,905
8,22,800
8,23,368
8,24,620
9,0,1
9,1,3
9,2,4
9,3,6
9,4,10
9,5,12
9,6,8
9,7,27
9,8,30
9,9,162
9,10,229
9,11,154
9,12,202
9,13,228
9,14,101
9,15,77
9,16,30
9,17,50
9,18,37
9,24,56
10,0,212
10,1,58
10,7,3
10,10,18
10,11,9
10,12,8
10,13,9
10,14,26
10,15,21
10,16,32
10,17,68
10,18,159
10,19,505
10,20,420
10,21,265
10,22,377
10,23,105
10,24,444
