topic,hour,count
0,0,4
0,2,3
0,3,1
0,4,3
0,6,13
0,7,39
0,8,110
0,9,71
0,10,86
0,11,124
0,12,57
0,13,83
0,14,20
0,15,10
0,16,89
0,17,119
0,18,2
0,19,1
0,24,26
1,0,95
1,1,33
1,2,61
1,3,37
1,4,35
1,5,115
1,6,579
1,7,979
1,8,902
1,9,741
1,10,640
1,11,793
1,12,596
1,13,712
1,14,855
1,15,980
1,16,832
1,17,1202
1,18,1215
1,19,1053
1,20,316
1,21,150
1,22,68
1,24,825
2,12,4
3,3,5
3,6,6
3,8,7
3,9,17
3,10,10
3,11,47
3,12,49
3,13,50
3,14,72
3,15,33
3,16,30
3,17,65
3,18,35
3,20,22
3,21,32
3,23,1
3,24,30
4,0,4
4,1,1
4,2,1
4,3,5
4,4,2
4,5,6
4,6,11
4,7,40
4,8,100
4,9,216
4,10,116
4,11,150
4,12,137
4,13,175
4,14,417
4,15,275
4,16,205
4,17,84
4,18,13
4,19,3
4,21,1
4,24,99
5,11,2
5,18,5
6,5,2
6,6,2
6,7,2
6,9,4
6,10,5
6,11,5
6,14,2
6,15,4
6,16,16
6,19,1
6,20,2
6,24,12
7,7,4
7,9,18
7,10,5
7,11,13
7,12,11
7,13,1
7,15,4
7,16,11
7,17,32
7,18,3
7,19,51
7,20,28
7,22,3
8,0,258
8,1,24
8,6,19
8,7,15
8,8,23
8,9,49
8,10,32
8,11,55
8,12,64
8,13,25
8,14,33
8,15,74
8,16,60
8,17,45
8,18,77
8,19,128
8,20,167
8,21,123
8,22,120
8,23,44
8,24,253
9,2,1
9,3,5
9,7,2
9,8,5
9,9,4
9,10,16
9,11,15
9,12,25
9,13,22
9,14,33
9,15,9
9,16,1
9,21,2
10,0,42
10,1,12
10,24,112
