topic,hour,count
0,0,2
0,1,1
0,3,5
0,5,2
0,6,23
0,7,36
0,8,102
0,9,215
0,10,298
0,11,170
0,12,266
0,13,234
0,14,472
0,15,316
0,16,437
0,17,549
0,18,304
0,19,8
0,23,5
0,24,65
1,0,201
1,1,148
1,2,78
1,3,102
1,4,64
1,5,206
1,6,703
1,7,1725
1,8,3100
1,9,3392
1,10,3311
1,11,2399
1,12,1413
1,13,1238
1,14,1684
1,15,1464
1,16,1405
1,17,1359
1,18,1236
1,19,826
1,20,506
1,21,357
1,22,55
1,23,26
1,24,1725
2,0,1
2,1,2
2,2,4
2,4,1
2,5,20
2,6,21
2,7,58
2,8,123
2,9,347
2,10,461
2,11,408
2,12,178
2,13,377
2,14,303
2,15,351
2,16,328
2,17,200
2,18,66
2,24,79
3,0,3
3,2,7
3,4,2
3,6,3
3,7,21
3,8,33
3,9,52
3,10,126
3,11,205
3,12,210
3,13,140
3,14,96
3,15,87
3,16,54
3,17,49
3,18,62
3,19,81
3,20,58
3,21,24
3,24,60
4,0,2
4,7,2
4,8,3
4,10,6
4,11,12
4,12,3
4,13,3
4,14,1
4,17,5
4,18,2
4,24,2
5,5,8
5,6,10
5,7,10
5,8,53
5,9,61
5,10,40
5,11,43
5,12,5
5,13,2
5,14,4
5,15,3
5,16,7
5,17,21
5,18,52
5,19,181
5,20,36
5,24,10
6,8,9
6,9,2
6,10,19
6,11,14
6,12,9
6,13,5
6,14,9
6,17,14
6,18,27
6,19,142
6,20,27
7,8,9
7,9,7
7,10,9
7,11,13
7,12,19
7,13,6
7,14,5
7,15,1
7,16,4
7,17,4
7,18,12
7,19,2
7,21,1
7,23,1
8,0,255
8,1,45
8,2,1
8,3,2
8,4,4
8,5,3
8,6,3
8,7,6
8,8,43
8,9,23
8,10,63
8,11,73
8,12,83
8,13,58
8,14,57
8,15,77
8,16,66
8,17,90
8,18,180
8,19,265
8,20,579
8,21,325
8,22,263
8,23,85
8,24,357
9,0,2
9,6,4
9,7,5
9,10,13
9,11,32
9,12,39
9,13,20
9,14,24
9,15,10
9,24,11
10,0,196
10,1,64
10,2,18
10,3,2
10,4,2
10,5,2
10,6,2
10,7,7
10,8,4
10,9,3
10,10,13
10,11,14
10,12,38
10,13,22
10,14,19
10,15,39
10,16,76
10,17,107
10,18,260
10,19,307
10,20,554
10,21,395
10,22,280
10,23,124
10,24,283
