topic,hour,count
0,0,9
0,5,2
0,6,14
0,7,20
0,8,23
0,9,95
0,10,46
0,11,50
0,12,35
0,13,65
0,14,109
0,15,236
0,16,262
0,24,54
1,0,54
1,1,33
1,2,17
1,3,17
1,4,18
1,5,66
1,6,194
1,7,376
1,8,492
1,9,470
1,10,613
1,11,393
1,12,413
1,13,356
1,14,313
1,15,283
1,16,369
1,17,631
1,18,574
1,19,556
1,20,220
1,21,13
1,22,35
1,23,32
1,24,417
2,0,4
2,1,3
2,3,11
2,4,6
2,5,8
2,6,7
2,7,37
2,8,73
2,9,205
2,10,368
2,11,285
2,12,445
2,13,449
2,14,431
2,15,299
2,16,166
2,17,352
2,18,287
2,19,171
2,21,2
2,24,117
3,5,1
3,6,2
3,7,9
3,8,36
3,9,108
3,10,77
3,11,40
3,12,26
3,13,42
3,14,73
3,15,224
3,16,200
3,17,5
3,20,1
3,24,58
4,7,1
4,11,1
4,14,1
4,15,6
4,18,2
5,6,1
5,8,7
5,9,1
5,10,9
5,12,6
5,14,1
5,15,2
5,16,2
6,1,1
6,6,4
6,7,8
6,8,3
6,9,28
6,10,1
6,11,2
6,12,8
6,13,9
6,14,26
6,15,24
6,16,18
6,17,11
6,18,1
6,19,3
6,21,1
6,24,2
7,9,16
7,10,12
7,11,34
7,12,55
7,13,33
7,14,9
7,15,1
7,16,10
7,17,7
7,19,1
7,24,2
8,0,1
8,9,1
8,10,18
8,11,14
8,12,36
8,13,28
8,14,42
8,15,59
8,16,37
8,17,32
8,18,20
8,19,24
8,20,26
8,21,27
8,22,10
8,23,1
8,24,1
9,0,8
9,1,1
9,2,10
9,3,6
9,5,12
9,6,19
9,7,57
9,8,59
9,9,226
9,10,256
9,11,337
9,12,295
9,13,137
9,14,39
9,15,2
9,19,1
9,24,81
10,7,1
10,11,1
10,14,1
