topic,hour,count
0,0,4
0,1,6
0,3,2
0,4,5
0,5,13
0,6,24
0,7,18
0,8,48
0,9,139
0,10,324
0,11,557
0,12,330
0,13,408
0,14,420
0,15,391
0,16,711
0,17,725
0,18,862
0,19,216
0,20,198
0,21,26
0,24,134
1,0,197
1,1,125
1,2,127
1,3,88
1,4,116
1,5,322
1,6,1131
1,7,2062
1,8,3736
1,9,3736
1,10,3299
1,11,2624
1,12,1983
1,13,1899
1,14,1818
1,15,1644
1,16,2741
1,17,3387
1,18,3611
1,19,2560
1,20,769
1,21,251
1,22,56
1,24,2373
2,0,35
2,1,18
2,2,19
2,3,22
2,4,4
2,5,22
2,6,112
2,7,162
2,8,431
2,9,855
2,10,1646
2,11,1482
2,12,1668
2,13,952
2,14,604
2,15,726
2,16,554
2,17,20
2,18,5
2,19,3
2,24,312
3,0,3
3,1,1
3,2,2
3,3,14
3,4,10
3,5,7
3,6,16
3,7,37
3,8,59
3,9,148
3,10,116
3,11,144
3,12,175
3,13,429
3,14,597
3,15,286
3,16,171
3,18,11
3,19,1
3,22,8
3,24,110
4,9,5
4,10,2
4,12,2
4,13,5
4,15,2
4,16,10
4,17,11
4,22,5
5,7,1
5,8,12
5,9,13
5,10,16
5,11,7
5,12,2
5,14,12
5,15,11
5,16,8
5,17,1
5,18,12
5,19,2
6,0,1
6,1,2
6,7,9
6,8,11
6,9,23
6,10,5
6,11,14
6,12,24
6,13,55
6,14,110
6,15,485
6,16,449
6,17,336
6,18,232
6,19,158
6,24,22
7,8,5
7,9,4
7,10,3
7,12,8
7,13,16
7,14,4
7,15,5
7,16,1
7,17,2
7,19,10
7,22,10
8,0,144
8,1,12
8,5,1
8,6,2
8,7,13
8,8,17
8,9,19
8,10,6
8,11,16
8,12,14
8,13,38
8,14,54
8,15,107
8,16,145
8,17,203
8,18,499
8,19,987
8,20,770
8,21,668
8,22,398
8,23,154
8,24,393
9,0,6
9,1,5
9,2,5
9,3,10
9,4,7
9,5,2
9,6,24
9,7,58
9,8,143
9,9,451
9,10,372
9,11,503
9,12,279
9,13,49
9,14,25
9,15,7
9,16,10
9,17,29
9,18,14
9,24,96
10,0,106
10,1,20
10,4,4
10,8,4
10,9,3
10,10,6
10,11,6
10,12,30
10,13,9
10,14,33
10,15,18
10,16,34
10,17,71
10,18,146
10,19,318
10,20,843
10,21,728
10,22,334
10,23,244
10,24,205
