topic,hour,count
0,0,49
0,1,2
0,2,6
0,3,13
0,4,8
0,5,10
0,6,12
0,7,57
0,8,63
0,9,217
0,10,702
0,11,978
0,12,666
0,13,450
0,14,320
0,15,199
0,16,165
0,17,298
0,18,191
0,19,58
0,22,2
0,24,156
1,0,125
1,1,98
1,2,54
1,3,46
1,4,70
1,5,153
1,6,418
1,7,1090
1,8,1446
1,9,2036
1,10,1719
1,11,1234
1,12,1259
1,13,1096
1,14,780
1,15,901
1,16,1218
1,17,1130
1,18,1349
1,19,903
1,20,276
1,21,79
1,22,39
1,23,36
1,24,1107
2,0,36
2,1,21
2,2,9
2,3,9
2,4,13
2,5,40
2,6,47
2,7,125
2,8,208
2,9,556
2,10,1364
2,11,1446
2,12,752
2,13,451
2,14,583
2,15,817
2,16,788
2,17,524
2,18,551
2,19,167
2,20,18
2,24,240
3,0,9
3,1,2
3,2,1
3,3,5
3,4,2
3,5,15
3,6,13
3,7,65
3,8,47
3,9,87
3,10,135
3,11,137
3,12,120
3,13,122
3,14,63
3,15,49
3,16,80
3,17,26
3,18,12
3,19,14
3,20,14
3,21,4
3,22,8
3,23,1
3,24,79
4,8,3
4,10,4
4,11,3
4,14,5
5,9,4
5,10,3
5,11,6
5,12,2
5,19,4
5,20,2
5,22,2
5,24,1
6,0,2
6,5,2
6,6,1
6,7,3
6,8,1
6,9,6
6,10,12
6,11,4
6,12,26
6,13,53
6,14,94
6,15,68
6,16,95
6,17,25
6,18,84
6,19,19
6,20,3
6,24,12
7,7,2
7,8,6
7,9,5
7,10,3
7,11,13
7,12,12
7,13,9
7,14,3
7,15,5
7,21,7
7,24,3
8,0,51
8,1,6
8,3,1
8,5,4
8,6,6
8,7,20
8,8,41
8,9,41
8,10,41
8,11,64
8,12,34
8,13,30
8,14,98
8,15,120
8,16,244
8,17,220
8,18,685
8,19,699
8,20,853
8,21,1004
8,22,461
8,23,203
8,24,201
9,0,1
9,1,2
9,2,1
9,3,3
9,5,6
9,6,9
9,7,53
9,8,18
9,9,35
9,10,127
9,11,61
9,12,36
9,13,56
9,14,241
9,15,21
9,16,5
9,17,6
9,18,19
9,19,14
9,20,10
9,21,3
9,22,6
9,24,48
10,0,60
10,1,17
10,2,4
10,3,2
10,8,1
10,9,2
10,10,5
10,11,6
10,12,15
10,13,7
10,14,8
10,15,17
10,16,73
10,17,58
10,18,251
10,19,376
10,20,478
10,21,207
10,22,293
10,23,52
10,24,167
