topic,hour,count
0,0,18
0,1,12
0,2,3
0,3,4
0,4,26
0,5,39
0,6,38
0,7,156
0,8,230
0,9,407
0,10,1015
0,11,1395
0,12,1629
0,13,1349
0,14,1266
0,15,1414
0,16,1243
0,17,548
0,18,230
0,19,197
0,20,68
0,21,81
0,22,1
0,24,269
1,0,255
1,1,104
1,2,80
1,3,86
1,4,102
1,5,181
1,6,824
1,7,1588
1,8,2329
1,9,2641
1,10,2182
1,11,1870
1,12,2165
1,13,2221
1,14,2249
1,15,1662
1,16,2102
1,17,2417
1,18,2934
1,19,2633
1,20,1022
1,21,407
1,22,87
1,23,77
1,24,1429
2,11,1
2,17,2
3,0,2
3,1,1
3,2,5
3,3,1
3,4,6
3,6,8
3,7,21
3,8,25
3,9,64
3,10,182
3,11,359
3,12,176
3,13,327
3,14,294
3,15,325
3,16,202
3,17,150
3,18,34
3,19,1
3,20,37
3,21,3
3,24,47
4,0,1
4,2,1
4,12,4
4,13,6
4,17,1
4,20,2
5,0,1
5,1,2
5,3,6
5,4,1
5,6,13
5,7,33
5,8,42
5,9,72
5,10,67
5,11,11
5,12,3
5,13,1
5,14,1
5,15,1
5,16,1
5,17,1
5,18,1
5,19,1
5,24,39
6,7,2
6,8,6
6,10,9
6,11,25
6,12,76
6,13,52
6,14,19
6,15,24
6,16,81
6,17,83
6,18,26
6,19,33
6,20,20
6,24,3
7,8,2
7,9,3
7,10,9
7,11,4
7,12,3
7,13,4
7,14,12
7,15,4
7,16,4
8,0,183
8,1,72
8,6,3
8,7,3
8,8,16
8,9,10
8,10,2
8,11,29
8,12,7
8,13,23
8,14,26
8,15,42
8,16,59
8,17,135
8,18,491
8,19,542
8,20,495
8,21,335
8,22,361
8,23,145
8,24,240
9,5,2
9,6,2
9,7,8
9,8,44
9,9,134
9,10,128
9,11,39
9,12,26
9,13,47
9,14,174
9,15,157
9,16,128
9,17,5
9,20,4
9,21,1
9,24,17
10,0,195
10,1,90
10,3,1
10,5,2
10,7,3
10,8,19
10,9,8
10,10,6
10,11,12
10,12,11
10,13,28
10,14,46
10,15,26
10,16,47
10,17,170
10,18,542
10,19,592
10,20,626
10,21,389
10,22,445
10,23,160
10,24,349
