topic,hour,count
0,0,14
0,1,4
0,2,9
0,3,4
0,4,10
0,5,13
0,6,44
0,7,81
0,8,222
0,9,355
0,10,731
0,11,1014
0,12,611
0,13,433
0,14,525
0,15,551
0,16,514
0,17,271
0,18,396
0,19,150
0,20,139
0,21,61
0,24,110
1,0,256
1,1,176
1,2,95
1,3,134
1,4,233
1,5,435
1,6,1681
1,7,3175
1,8,4701
1,9,4766
1,10,3821
1,11,2355
1,12,2031
1,13,2197
1,14,1656
1,15,2176
1,16,2816
1,17,4461
1,18,4656
1,19,3173
1,20,1253
1,21,242
1,22,76
1,23,43
1,24,2143
2,0,5
2,1,7
2,2,9
2,3,11
2,4,13
2,5,27
2,6,58
2,7,106
2,8,272
2,9,637
2,10,748
2,11,870
2,12,763
2,13,641
2,14,826
2,15,1049
2,16,640
2,17,859
2,18,850
2,19,105
2,20,1
2,24,205
3,2,4
3,3,3
3,4,2
3,5,2
3,7,8
3,8,22
3,9,20
3,10,58
3,11,122
3,12,18
3,13,62
3,14,28
3,15,19
3,16,47
3,17,37
3,18,71
3,19,11
3,20,8
4,4,2
4,5,2
4,6,4
4,8,5
4,10,4
4,11,11
4,17,26
4,18,10
4,19,5
4,21,1
4,24,2
5,6,1
5,7,2
5,8,9
5,9,4
5,10,3
5,12,4
5,14,3
5,16,5
5,18,5
6,4,1
6,6,1
6,7,4
6,8,3
6,9,1
6,10,27
6,11,26
6,12,24
6,13,7
6,14,2
6,15,22
6,16,53
6,17,34
6,19,3
6,20,4
6,21,1
6,24,5
7,1,6
7,2,2
7,3,3
7,5,6
7,6,16
7,7,21
7,8,2
7,9,2
7,11,12
7,12,3
7,13,7
7,14,2
7,15,7
7,16,4
7,17,3
7,18,11
7,19,14
7,22,2
7,24,10
8,0,27
8,1,1
8,8,1
8,9,7
8,10,11
8,11,11
8,12,19
8,13,37
8,14,52
8,15,11
8,16,7
8,17,32
8,18,23
8,19,13
8,20,10
8,21,29
8,22,61
8,23,24
8,24,47
9,5,5
9,6,5
9,7,6
9,8,24
9,9,30
9,10,14
9,11,10
9,12,4
9,14,3
9,16,7
9,17,1
