topic,hour,count
0,0,19
0,1,7
0,2,11
0,3,13
0,4,10
0,5,13
0,6,63
0,7,138
0,8,424
0,9,520
0,10,949
0,11,949
0,12,567
0,13,699
0,14,665
0,15,494
0,16,454
0,17,405
0,18,640
0,19,491
0,20,361
0,21,109
0,22,6
0,24,167
1,0,255
1,1,201
1,2,154
1,3,97
1,4,175
1,5,554
1,6,1925
1,7,4107
1,8,4936
1,9,4757
1,10,3582
1,11,2442
1,12,1662
1,13,1681
1,14,1798
1,15,2237
1,16,3058
1,17,4340
1,18,4288
1,19,2565
1,20,1261
1,21,415
1,22,136
1,23,56
1,24,2273
2,0,11
2,1,13
2,2,3
2,3,5
2,4,5
2,5,13
2,6,70
2,7,144
2,8,210
2,9,329
2,10,825
2,11,890
2,12,576
2,13,468
2,14,847
2,15,735
2,16,999
2,17,1161
2,18,868
2,19,524
2,24,171
3,0,12
3,2,3
3,3,3
3,4,1
3,5,11
3,6,36
3,7,34
3,8,98
3,9,115
3,10,115
3,11,297
3,12,361
3,13,293
3,14,282
3,15,76
3,16,18
3,17,22
3,18,11
3,19,42
3,20,60
3,21,12
3,24,62
4,9,1
4,11,6
4,12,6
4,19,2
4,20,14
4,24,2
5,0,1
5,9,4
5,11,3
5,12,2
5,14,9
5,15,9
5,17,7
5,18,3
5,19,6
5,22,1
5,24,2
6,5,2
6,6,1
6,7,1
6,8,8
6,9,4
6,10,1
6,11,4
6,12,5
6,13,1
6,14,2
6,15,14
6,16,4
6,17,1
6,19,2
6,24,5
7,6,4
7,7,4
7,8,7
7,9,19
7,10,32
7,11,50
7,12,93
7,13,11
7,14,7
7,15,9
7,16,4
7,17,5
7,18,3
7,19,3
7,20,1
7,23,1
7,24,3
8,0,26
8,1,13
8,3,6
8,5,1
8,6,30
8,7,41
8,8,5
8,9,10
8,10,70
8,11,37
8,12,24
8,13,19
8,14,43
8,15,34
8,16,58
8,17,112
8,18,237
8,19,687
8,20,601
8,21,582
8,22,536
8,23,222
8,24,57
9,1,3
9,3,1
9,5,2
9,6,7
9,7,13
9,8,17
9,9,29
9,10,42
9,11,55
9,12,6
9,13,2
9,15,3
9,24,5
10,4,2
10,7,4
10,8,2
10,9,3
10,10,8
10,11,6
10,12,1
10,13,3
10,14,7
10,15,8
10,16,23
10,17,29
10,18,96
10,19,271
10,20,640
10,21,447
10,22,256
10,23,199
10,24,8
