topic,hour,count
0,0,4
0,1,9
0,2,3
0,4,4
0,5,6
0,6,54
0,7,45
0,8,28
0,9,87
0,10,143
0,11,257
0,12,365
0,13,202
0,14,109
0,15,109
0,16,227
0,17,356
0,18,309
0,19,223
0,20,61
0,24,97
1,0,118
1,1,85
1,2,117
1,3,86
1,4,78
1,5,261
1,6,780
1,7,1273
1,8,1337
1,9,1689
1,10,1481
1,11,1533
1,12,1110
1,13,915
1,14,857
1,15,802
1,16,1277
1,17,1839
1,18,1598
1,19,1157
1,20,504
1,21,151
1,22,59
1,23,23
1,24,1225
2,0,23
2,1,9
2,2,32
2,3,29
2,4,30
2,5,34
2,6,108
2,7,251
2,8,525
2,9,1090
2,10,1240
2,11,918
2,12,659
2,13,507
2,14,1138
2,15,1199
2,16,1130
2,17,1291
2,18,1103
2,19,745
2,20,67
2,24,387
3,0,3
3,2,4
3,3,2
3,4,2
3,5,17
3,6,30
3,7,42
3,8,193
3,9,223
3,10,271
3,11,195
3,12,106
3,13,157
3,14,103
3,15,29
3,16,28
3,17,4
3,18,54
3,19,40
3,20,1
3,24,70
4,8,4
4,9,5
4,10,2
4,11,4
4,13,5
4,16,1
4,17,7
5,0,1
5,2,1
5,4,1
5,5,1
5,6,4
5,7,3
5,8,5
5,9,2
5,10,5
5,11,1
5,12,1
5,13,2
5,14,6
5,17,1
5,18,5
5,19,1
5,20,3
5,24,1
6,0,1
6,9,5
6,10,3
6,11,5
6,12,7
6,14,1
6,15,7
6,16,11
6,17,4
6,18,1
6,19,3
6,20,5
6,21,2
6,22,3
6,23,1
6,24,2
7,0,8
7,1,2
7,2,26
7,3,4
7,6,3
7,7,1
7,8,11
7,9,4
7,10,15
7,11,13
7,12,17
7,13,7
7,14,2
7,15,10
7,16,27
7,17,13
7,18,11
7,19,16
7,20,4
7,21,1
7,24,26
8,0,446
8,1,173
8,8,15
8,9,5
8,10,13
8,11,16
8,12,20
8,13,32
8,14,53
8,15,76
8,16,116
8,17,158
8,18,241
8,19,872
8,20,697
8,21,391
8,22,290
8,23,262
8,24,883
9,0,1
9,1,5
9,3,10
9,4,4
9,5,3
9,6,16
9,7,26
9,8,61
9,9,225
9,10,306
9,11,192
9,12,269
9,13,250
9,14,61
9,15,25
9,16,20
9,17,70
9,18,38
9,19,95
9,20,5
9,24,54
10,0,206
10,1,91
10,2,2
10,7,6
10,8,12
10,9,8
10,10,10
10,11,4
10,12,51
10,13,9
10,14,18
10,15,25
10,16,68
10,17,59
10,18,207
10,19,703
10,20,526
10,21,470
10,22,188
10,23,160
10,24,444
