topic,hour,count
0,7,3
0,8,1
0,9,11
0,10,22
0,11,42
0,12,23
0,13,27
0,14,6
0,15,22
0,16,1
0,17,6
0,18,26
0,19,19
0,20,31
0,24,1
1,0,51
1,1,31
1,2,26
1,3,44
1,4,49
1,5,92
1,6,323
1,7,722
1,8,938
1,9,862
1,10,588
1,11,533
1,12,407
1,13,419
1,14,525
1,15,461
1,16,651
1,17,1024
1,18,1019
1,19,752
1,20,442
1,21,72
1,22,17
1,24,472
2,0,7
2,1,5
2,2,1
2,3,4
2,4,2
2,5,12
2,6,18
2,7,51
2,8,128
2,9,268
2,10,685
2,11,619
2,12,414
2,13,288
2,14,546
2,15,394
2,16,823
2,17,739
2,18,529
2,19,235
2,24,93
3,3,2
3,5,2
3,6,2
3,8,3
3,9,12
3,10,10
3,11,4
3,12,9
3,13,1
3,14,11
3,15,6
3,16,3
3,17,8
3,18,4
3,19,4
4,0,1
4,8,3
4,9,5
4,10,4
4,11,2
4,12,1
4,13,3
4,15,1
4,16,2
4,17,4
4,18,3
4,20,1
4,21,1
4,22,1
5,11,1
5,12,3
5,13,1
5,17,5
5,18,5
6,9,16
6,10,14
6,11,11
6,14,7
6,15,3
6,16,5
6,17,2
6,18,6
6,19,3
6,20,10
6,24,2
7,3,1
7,8,3
7,9,11
7,10,13
7,11,6
7,12,11
7,13,7
7,14,6
7,15,14
7,16,7
7,17,14
7,18,19
7,19,8
7,24,9
8,9,6
8,11,8
8,12,11
8,13,11
8,14,4
8,15,1
8,17,5
8,18,3
8,20,1
8,21,1
8,22,4
8,23,1
9,8,5
9,13,1
10,0,1
10,18,1
10,21,1
