topic,hour,count
0,0,13
0,1,8
0,2,5
0,3,3
0,4,9
0,5,10
0,6,10
0,7,30
0,8,12
0,9,31
0,10,51
0,11,59
0,12,40
0,13,64
0,14,68
0,15,92
0,16,37
0,17,25
0,18,64
0,19,240
0,20,145
0,21,80
0,22,49
0,23,35
0,24,40
1,0,195
1,1,139
1,2,129
1,3,69
1,4,147
1,5,439
1,6,1656
1,7,3119
1,8,3792
1,9,3624
1,10,2795
1,11,1845
1,12,1434
1,13,1204
1,14,1111
1,15,1316
1,16,1723
1,17,2307
1,18,2023
1,19,1111
1,20,316
1,21,100
1,22,43
1,23,10
1,24,2179
2,2,2
2,3,2
2,6,4
2,7,1
2,8,4
2,10,18
2,11,28
2,12,99
2,13,119
2,14,155
2,15,163
2,16,34
2,17,83
2,18,49
2,20,3
2,24,7
3,0,3
3,1,1
3,2,1
3,3,1
3,6,7
3,7,13
3,8,24
3,9,64
3,10,125
3,11,85
3,12,97
3,13,37
3,14,99
3,15,115
3,16,109
3,17,154
3,18,141
3,19,31
3,20,15
3,24,23
4,12,6
4,14,5
4,16,12
4,17,16
4,18,10
4,19,14
4,20,10
5,5,6
5,6,10
5,7,21
5,8,19
5,9,10
5,10,16
5,11,12
5,12,6
5,17,11
5,18,4
5,24,23
6,0,2
6,1,1
6,5,1
6,6,15
6,7,31
6,8,48
6,9,35
6,10,36
6,11,8
6,12,4
6,13,20
6,14,17
6,15,25
6,16,95
6,17,54
6,18,2
6,19,5
6,24,31
7,7,4
7,9,3
7,12,3
7,14,1
7,16,2
7,17,3
7,18,4
8,0,378
8,1,131
8,2,1
8,3,3
8,5,10
8,6,6
8,7,7
8,8,18
8,9,28
8,10,19
8,11,30
8,12,45
8,13,76
8,14,101
8,15,83
8,16,148
8,17,316
8,18,711
8,19,1488
8,20,971
8,21,800
8,22,605
8,23,389
8,24,589
9,1,5
9,2,2
9,3,7
9,4,4
9,5,3
9,6,19
9,7,47
9,8,91
9,9,262
9,10,367
9,11,307
9,12,196
9,13,242
9,14,84
9,24,53
10,0,148
10,1,7
10,2,4
10,3,2
10,6,10
10,8,2
10,10,2
10,11,3
10,12,12
10,13,8
10,14,29
10,15,23
10,16,56
10,17,69
10,18,416
10,19,369
10,20,229
10,21,275
10,22,180
10,23,147
10,24,298
