topic,hour,count
0,0,2
0,1,1
0,2,1
0,4,1
0,5,4
0,6,11
0,7,40
0,8,228
0,9,239
0,10,438
0,11,214
0,12,89
0,13,70
0,14,136
0,15,191
0,16,212
0,17,192
0,18,114
0,19,77
0,20,18
0,24,63
1,0,69
1,1,31
1,2,34
1,3,32
1,4,36
1,5,103
1,6,339
1,7,951
1,8,1094
1,9,1225
1,10,987
1,11,869
1,12,689
1,13,555
1,14,522
1,15,785
1,16,1293
1,17,2101
1,18,1591
1,19,1179
1,20,477
1,21,137
1,22,1
1,24,699
2,0,5
2,1,8
2,2,2
2,3,1
2,4,3
2,5,5
2,6,47
2,7,62
2,8,74
2,9,137
2,10,282
2,11,347
2,12,406
2,13,507
2,14,549
2,15,492
2,16,657
2,17,782
2,18,609
2,19,450
2,20,9
2,21,3
2,24,141
3,0,3
3,1,4
3,2,8
3,3,5
3,4,4
3,5,6
3,6,53
3,7,106
3,8,462
3,9,772
3,10,749
3,11,275
3,12,430
3,13,258
3,14,76
3,15,152
3,16,216
3,17,91
3,18,35
3,19,38
3,20,2
3,24,143
4,0,1
4,1,2
4,9,3
4,11,1
4,12,6
4,13,3
4,14,9
4,19,1
4,24,2
5,8,28
5,9,3
5,10,6
5,14,5
5,15,6
5,17,2
6,11,4
6,14,1
6,15,5
6,17,1
6,24,2
7,6,2
7,7,1
7,9,9
7,10,7
7,11,6
7,12,4
7,13,5
7,14,8
7,17,10
7,24,6
8,6,1
8,8,1
8,10,13
8,11,7
8,12,7
8,13,18
8,14,37
8,15,31
8,16,89
8,17,325
8,18,290
8,19,55
8,23,1
8,24,5
9,19,2
9,24,4
