topic,hour,count
0,0,11
0,1,2
0,3,1
0,5,3
0,6,22
0,7,40
0,8,54
0,9,56
0,10,41
0,11,131
0,12,157
0,13,253
0,14,699
0,15,612
0,16,457
0,17,255
0,18,176
0,19,68
0,20,109
0,21,97
0,24,69
1,0,293
1,1,138
1,2,156
1,3,119
1,4,136
1,5,424
1,6,1377
1,7,2920
1,8,4361
1,9,3037
1,10,2574
1,11,2160
1,12,1816
1,13,1835
1,14,1458
1,15,1705
1,16,2972
1,17,4066
1,18,3820
1,19,2427
1,20,1075
1,21,362
1,22,135
1,23,47
1,24,2165
2,0,16
2,3,4
2,4,1
2,5,1
2,6,10
2,7,24
2,8,48
2,9,121
2,10,324
2,11,441
2,12,237
2,13,169
2,14,61
2,15,84
2,16,116
2,17,146
2,18,82
2,19,202
2,20,2
2,24,57
3,0,6
3,1,7
3,3,4
3,4,4
3,5,16
3,6,13
3,7,19
3,8,39
3,9,108
3,10,137
3,11,174
3,12,218
3,13,221
3,14,245
3,15,228
3,16,181
3,17,124
3,18,21
3,19,24
3,20,2
3,24,78
4,8,3
4,9,5
4,10,6
4,11,1
4,12,1
4,13,1
4,16,3
4,17,2
4,18,3
4,20,1
4,21,2
5,6,2
5,7,8
5,8,6
5,9,4
5,10,19
5,11,96
5,12,198
5,13,64
5,24,8
6,10,3
6,12,4
6,13,10
6,15,3
6,18,3
6,19,2
7,3,10
7,7,5
7,8,1
7,9,1
7,10,12
7,11,2
7,12,5
7,13,9
7,14,4
7,15,7
7,16,23
7,17,62
7,18,33
7,19,30
7,22,8
8,0,485
8,1,134
8,2,3
8,3,4
8,4,3
8,5,4
8,6,4
8,7,13
8,8,28
8,9,60
8,10,54
8,11,84
8,12,63
8,13,109
8,14,67
8,15,95
8,16,209
8,17,291
8,18,566
8,19,1553
8,20,962
8,21,1087
8,22,574
8,23,300
8,24,613
9,0,5
9,2,10
9,3,2
9,5,10
9,6,15
9,7,32
9,8,81
9,9,243
9,10,228
9,11,262
9,12,254
9,13,109
9,14,29
9,15,6
9,16,8
9,22,16
9,24,57
10,0,161
10,1,40
10,10,4
10,12,10
10,13,10
10,14,17
10,15,32
10,16,33
10,17,87
10,18,178
10,19,479
10,20,472
10,21,261
10,22,376
10,23,164
10,24,227
