topic,hour,count
0,0,24
0,1,11
0,2,9
0,3,8
0,4,4
0,5,17
0,6,64
0,7,118
0,8,185
0,9,262
0,10,345
0,11,448
0,12,381
0,13,247
0,14,428
0,15,310
0,16,255
0,17,117
0,18,69
0,24,220
1,0,206
1,1,79
1,2,78
1,3,71
1,4,68
1,5,320
1,6,962
1,7,1954
1,8,2528
1,9,2211
1,10,2003
1,11,1696
1,12,997
1,13,758
1,14,574
1,15,735
1,16,969
1,17,1389
1,18,1327
1,19,805
1,20,376
1,21,152
1,22,81
1,23,74
1,24,1364
2,0,11
2,1,1
2,2,2
2,3,11
2,4,2
2,5,13
2,6,23
2,7,27
2,8,55
2,9,61
2,10,169
2,11,346
2,12,379
2,13,187
2,14,218
2,15,249
2,16,354
2,17,250
2,18,117
2,19,14
2,24,60
3,0,1
3,1,1
3,5,4
3,6,6
3,7,22
3,8,33
3,9,22
3,10,17
3,11,84
3,12,82
3,13,73
3,14,73
3,15,51
3,16,57
3,17,1
3,18,39
3,19,7
3,24,13
4,8,4
4,10,5
4,11,8
4,12,2
4,16,4
5,6,3
5,8,1
5,9,4
5,10,2
5,11,1
5,12,2
5,13,2
5,15,2
5,16,7
5,19,3
5,24,2
6,6,1
6,7,1
6,8,1
6,9,4
6,11,3
6,12,1
6,16,1
6,17,4
6,21,1
7,8,2
7,10,1
7,12,2
7,13,21
7,14,3
7,16,2
7,17,8
7,18,3
7,19,2
7,20,1
8,0,183
8,1,47
8,3,2
8,5,3
8,6,2
8,7,5
8,8,11
8,9,19
8,10,12
8,11,21
8,12,42
8,13,19
8,14,23
8,15,37
8,16,99
8,17,152
8,18,397
8,19,633
8,20,623
8,21,459
8,22,373
8,23,257
8,24,554
9,9,4
9,10,10
9,11,4
10,0,143
10,1,28
10,5,1
10,8,16
10,9,7
10,11,13
10,12,12
10,13,18
10,14,9
10,15,19
10,16,35
10,17,57
10,18,244
10,19,461
10,20,191
10,21,167
10,22,100
10,23,93
10,24,229
