topic,hour,count
0,0,17
0,1,3
0,2,7
0,3,12
0,4,6
0,5,21
0,6,55
0,7,62
0,8,64
0,9,55
0,10,23
0,11,20
0,12,6
0,13,36
0,14,43
0,15,47
0,16,32
0,17,18
0,18,9
0,19,22
0,20,23
0,21,17
0,24,130
1,0,184
1,1,72
1,2,66
1,3,62
1,4,141
1,5,324
1,6,1195
1,7,2646
1,8,3340
1,9,3261
1,10,2815
1,11,2315
1,12,1800
1,13,1247
1,14,1135
1,15,1306
1,16,1680
1,17,2326
1,18,2337
1,19,1352
1,20,704
1,21,211
1,22,77
1,23,22
1,24,2151
2,0,13
2,1,7
2,2,3
2,3,17
2,4,5
2,5,39
2,6,50
2,7,105
2,8,227
2,9,403
2,10,1130
2,11,984
2,12,955
2,13,1055
2,14,636
2,15,960
2,16,1252
2,17,1330
2,18,1159
2,19,494
2,20,6
2,24,183
3,0,4
3,1,4
3,2,2
3,5,1
3,6,15
3,7,38
3,8,72
3,9,204
3,10,344
3,11,373
3,12,342
3,13,306
3,14,122
3,15,150
3,16,81
3,17,27
3,18,8
3,19,11
3,20,28
3,21,5
3,24,62
4,8,2
4,9,5
4,11,4
4,12,2
4,13,1
4,15,1
4,18,2
4,19,3
4,20,13
5,9,10
5,10,7
5,11,12
5,12,15
5,13,5
5,14,3
5,17,2
5,18,5
5,19,7
5,20,15
6,10,1
6,13,5
6,14,3
6,15,8
6,24,4
7,4,1
7,7,12
7,8,38
7,9,36
7,10,27
7,11,32
7,12,95
7,13,36
7,14,36
7,15,15
7,17,3
7,21,12
7,24,20
8,0,129
8,1,70
8,4,8
8,5,4
8,6,4
8,7,16
8,8,19
8,9,47
8,10,25
8,11,18
8,12,35
8,13,76
8,14,109
8,15,119
8,16,101
8,17,161
8,18,326
8,19,674
8,20,953
8,21,671
8,22,429
8,23,172
8,24,247
9,0,8
9,1,9
9,2,2
9,3,13
9,5,10
9,6,35
9,7,57
9,8,126
9,9,311
9,10,300
9,11,363
9,12,367
9,13,520
9,14,479
9,15,418
9,16,140
9,17,12
9,18,7
9,19,8
9,21,20
9,22,11
9,23,8
9,24,107
10,0,101
10,1,24
10,7,4
10,8,4
10,9,7
10,10,4
10,11,2
10,13,12
10,14,2
10,15,41
10,16,33
10,17,104
10,18,371
10,19,427
10,20,435
10,21,247
10,22,270
10,23,102
10,24,197
